t,f
14.19,49.16871152
14.2,49.16862304
14.21,49.16853499
14.22,49.16844738
14.23,49.1683602
14.24,49.16827346
14.25,49.16818717
14.26,49.16810135
14.27,49.16801598
14.28,49.16793109
14.29,49.16784668
14.3,49.16776274
14.31,49.1676793
14.32,49.16759635
14.33,49.1675139
14.34,49.16743195
14.35,49.16735052
14.36,49.1672696
14.37,49.16718921
14.38,49.16710934
14.39,49.16703001
14.4,49.16695122
14.41,49.16687297
14.42,49.16679526
14.43,49.16671812
14.44,49.16664152
14.45,49.16656549
14.46,49.16649003
14.47,49.16641514
14.48,49.16634082
14.49,49.16626708
14.5,49.16619393
14.51,49.16612137
14.52,49.16604939
14.53,49.16597802
14.54,49.16590724
14.55,49.16583706
14.56,49.1657675
14.57,49.16569854
14.58,49.16563019
14.59,49.16556247
14.6,49.16549536
14.61,49.16542887
14.62,49.16536301
14.63,49.16529778
14.64,49.16523319
14.65,49.16516922
14.66,49.1651059
14.67,49.16504321
14.68,49.16498117
14.69,49.16491977
14.7,49.16485901
14.71,49.16479891
14.72,49.16473946
14.73,49.16468065
14.74,49.16462251
14.75,49.16456502
14.76,49.16450819
14.77,49.16445202
14.78,49.16439651
14.79,49.16434166
14.8,49.16428748
14.81,49.16423397
14.82,49.16418112
14.83,49.16412894
14.84,49.16407743
14.85,49.16402658
14.86,49.16397641
14.87,49.16392692
14.88,49.16387809
14.89,49.16382994
14.9,49.16378246
14.91,49.16373565
14.92,49.16368952
14.93,49.16364406
14.94,49.16359928
14.95,49.16355518
14.96,49.16351175
14.97,49.16346899
14.98,49.16342691
14.99,49.16338551
15,49.16334478
15.01,49.16330472
15.02,49.16326534
15.03,49.16322663
15.04,49.1631886
15.05,49.16315123
15.06,49.16311454
15.07,49.16307853
15.08,49.16304318
15.09,49.1630085
15.1,49.16297449
15.11,49.16294114
15.12,49.16290847
15.13,49.16287645
15.14,49.16284511
15.15,49.16281442
15.16,49.1627844
15.17,49.16275503
15.18,49.16272633
15.19,49.16269828
15.2,49.16267088
15.21,49.16264414
15.22,49.16261806
15.23,49.16259262
15.24,49.16256783
15.25,49.16254369
15.26,49.16252019
15.27,49.16249733
15.28,49.16247511
15.29,49.16245353
15.3,49.16243259
15.31,49.16241228
15.32,49.1623926
15.33,49.16237355
15.34,49.16235513
15.35,49.16233733
15.36,49.16232015
15.37,49.1623036
15.38,49.16228765
15.39,49.16227232
15.4,49.1622576
15.41,49.16224349
15.42,49.16222999
15.43,49.16221708
15.44,49.16220478
15.45,49.16219307
15.46,49.16218196
15.47,49.16217143
15.48,49.1621615
15.49,49.16215214
15.5,49.16214337
15.51,49.16213517
15.52,49.16212755
15.53,49.1621205
15.54,49.16211402
15.55,49.1621081
15.56,49.16210274
15.57,49.16209794
15.58,49.1620937
15.59,49.16209
15.6,49.16208685
15.61,49.16208424
15.62,49.16208217
15.63,49.16208064
15.64,49.16207964
15.65,49.16207916
15.66,49.16207921
15.67,49.16207978
15.68,49.16208087
15.69,49.16208247
15.7,49.16208458
15.71,49.16208719
15.72,49.1620903
15.73,49.16209391
15.74,49.16209802
15.75,49.16210261
15.76,49.16210769
15.77,49.16211324
15.78,49.16211927
15.79,49.16212578
15.8,49.16213275
15.81,49.16214019
15.82,49.16214808
15.83,49.16215643
15.84,49.16216524
15.85,49.16217449
15.86,49.16218418
15.87,49.1621943
15.88,49.16220487
15.89,49.16221586
15.9,49.16222728
15.91,49.16223911
15.92,49.16225137
15.93,49.16226403
15.94,49.1622771
15.95,49.16229058
15.96,49.16230445
15.97,49.16231872
15.98,49.16233337
15.99,49.16234841
16,49.16236383
