t,f
3.21,48.71486423
3.22,48.71534765
3.23,48.71587876
3.24,48.71645716
3.25,48.71708243
3.26,48.71775416
3.27,48.71847193
3.28,48.71923534
3.29,48.72004395
3.3,48.72089735
3.31,48.72179511
3.32,48.72273681
3.33,48.72372201
3.34,48.7247503
3.35,48.72582123
3.36,48.72693438
3.37,48.7280893
3.38,48.72928557
3.39,48.73052275
3.4,48.73180039
3.41,48.73311806
3.42,48.73447531
3.43,48.7358717
3.44,48.73730679
3.45,48.73878014
3.46,48.74029128
3.47,48.74183978
3.48,48.7434252
3.49,48.74504707
3.5,48.74670495
3.51,48.74839838
3.52,48.75012692
3.53,48.75189012
3.54,48.75368751
3.55,48.75551865
3.56,48.75738308
3.57,48.75928035
3.58,48.76121
3.59,48.76317158
3.6,48.76516463
3.61,48.76718869
3.62,48.76924331
3.63,48.77132803
3.64,48.77344239
3.65,48.77558595
3.66,48.77775824
3.67,48.7799588
3.68,48.78218718
3.69,48.78444293
3.7,48.78672558
3.71,48.78903469
3.72,48.79136979
3.73,48.79373043
3.74,48.79611616
3.75,48.79852653
3.76,48.80096107
3.77,48.80341935
3.78,48.80590089
3.79,48.80840526
3.8,48.810932
3.81,48.81348067
3.82,48.8160508
3.83,48.81864196
3.84,48.8212537
3.85,48.82388556
3.86,48.82653711
3.87,48.8292079
3.88,48.83189749
3.89,48.83460542
3.9,48.83733127
3.91,48.84007459
3.92,48.84283494
3.93,48.84561189
3.94,48.848405
3.95,48.85121383
3.96,48.85403794
3.97,48.85687692
3.98,48.85973032
3.99,48.86259772
4,48.86547869
4.01,48.86837281
4.02,48.87127964
4.03,48.87419877
4.04,48.87712978
4.05,48.88007224
4.06,48.88302574
4.07,48.88598986
4.08,48.88896419
4.09,48.89194832
4.1,48.89494183
4.11,48.89794432
4.12,48.90095538
4.13,48.90397461
4.14,48.9070016
4.15,48.91003596
4.16,48.91307728
4.17,48.91612518
4.18,48.91917925
4.19,48.9222391
4.2,48.92530435
4.21,48.92837461
4.22,48.93144949
4.23,48.93452861
4.24,48.93761159
4.25,48.94069805
4.26,48.94378762
4.27,48.94687992
4.28,48.94997458
4.29,48.95307123
